culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,species
39.1,18.7,181,3750,MALE,Adelie
39.5,17.4,186,3800,FEMALE,Adelie
,18,195,3250,FEMALE,Adelie
NA,NA,NA,NA,NA,Adelie
36.7,19.3,193,3450,FEMALE,Adelie
39.3,20.6,190,3650,MALE,Adelie
38.9,17.8,181,3625,FEMALE,Adelie
,19.6,195,4675,MALE,Adelie
34.1,18.1,193,3475,NA,Adelie
42,20.2,190,4250,NA,Adelie
37.8,17.1,186,3300,NA,Adelie
,17.3,180,3700,NA,Adelie
41.1,17.6,182,3200,FEMALE,Adelie
,21.2,191,3800,MALE,Adelie
34.6,21.1,198,4400,MALE,Adelie
,17.8,185,3700,FEMALE,Adelie
38.7,19,195,3450,FEMALE,Adelie
42.5,20.7,197,4500,MALE,Adelie
,18.4,184,3325,FEMALE,Adelie
,21.5,194,4200,MALE,Adelie
37.8,18.3,174,3400,FEM,Adelie
37.7,18.7,180,3600,MALE,Adelie
35.9,19.2,189,3800,FEMALE,Adelie
38.2,18.1,185,3950,MALE,Adelie
38.8,17.2,180,3800,MALE,Adelie
,18.9,187,3800,FEMALE,Adelie
40.6,18.6,183,3550,MALE,Adelie
40.5,17.9,187,3200,FEMALE,Adelie
37.9,18.6,172,3150,FEMALE,Adelie
,18.9,180,3950,MALE,Adelie
39.5,16.7,178,3250,FEMALE,Adelie
37.2,18.1,178,3900,MALE,Adelie
,17.8,188,3300,FEMALE,Adelie
40.9,18.9,184,3900,MALE,Adelie
,17,195,3325,FEMALE,Adelie
,21.1,196,4150,MALE,Adelie
38.8,20,190,3950,MALE,Adelie
42.2,18.5,180,3550,FEMALE,Adelie
37.6,19.3,181,3300,FEMALE,Adelie
39.8,19.1,184,4650,MALE,Adelie
36.5,18,182,3150,FEMALE,Adelie
40.8,18.4,195,3900,MALE,Adelie
36,18.5,186,3100,FEMALE,Adelie
44.1,19.7,196,4400,MALE,Adelie
